bit,LL_ptr
3494,45410
6809,63625
10805,75613
12844,81730
31233,136897
32405,140413
35008,148222
1728,22452
2235,29043
2647,34399
4315,56083
11165,76693
32765,141493
36309,152125
42406,170416
512,6644
2123,27587
2749,35726
4091,53171
11525,77773
26538,122812
29158,130672
33125,142573
587,7619
3483,45267
3781,49142
9627,72079
11885,78853
33485,143653
37604,156010
40849,165745
1155,15003
2690,34958
12245,79933
18954,100060
20544,104830
23587,113959
24933,117997
33845,144733
987,12819
4119,53535
8637,69109
9584,71950
12605,81013
24687,117259
34205,145813
38929,159985
1353,17577
1964,25520
7002,64204
12965,82093
18653,99157
25579,119935
33017,142249
34565,146893
745,9673
1116,14496
3476,45176
7234,64900
13325,83173
34925,147973
35386,149356
35657,150169
1562,20294
3466,45046
7793,66577
11587,77959
13685,84253
33124,142571
35285,149053
36932,153994
211,2731
3993,51897
10540,74818
13346,83236
14045,85333
33503,143707
35645,150133
40275,164023
560,7268
2816,36596
8020,67258
14405,86413
19373,101317
34299,146095
36005,151213
42713,171337
941,12221
2623,34087
8864,69791
14765,87493
16867,93799
23253,112957
31508,137722
36365,152293
1901,24701
3629,47165
5581,59941
15125,88573
17428,95482
23145,112633
27120,124558
36725,153373
2501,32501
3553,46177
9912,72934
12134,79600
15485,89653
34754,147460
37085,154453
39331,161191
622,8074
1461,18981
9086,70456
15845,90733
21263,106987
32616,141046
33784,144550
37445,155533
2290,29758
3784,49180
13177,82729
14803,87607
16205,91813
27675,126223
30405,134413
37805,156613
152,1964
2925,38013
5424,59470
14800,87599
16565,92893
21662,108184
22188,109762
38165,157693
2272,29524
2461,31981
4885,57853
16925,93973
18181,97741
21679,108235
38525,158773
41182,166744
17,209
1779,23115
6820,63658
16442,92524
17285,95053
33300,143098
38885,159853
41848,168742
1150,14938
2114,27470
3854,50090
7856,66766
17645,96133
27131,124591
39245,160933
43146,172636
903,11727
3079,40015
8865,69793
11484,77650
18005,97213
39605,162013
40369,164305
42962,172084
191,2471
2085,27093
2424,31500
3613,46957
18365,98293
26696,123286
39965,163093
42117,169549
1137,14769
3077,39990
14560,86878
18411,98431
18725,99373
34371,146311
36391,152371
40325,164173
2402,31214
3692,47984
5161,58681
15526,89776
19085,100453
22568,110902
37460,155578
40685,165253
3155,41003
4001,52001
6419,62455
17857,96769
19445,101533
25316,119146
29043,130327
41045,166333
